"filename", "language", "TypeScript", "Solidity", "JSON with Comments", "JSON", "YAML", "JavaScript", "SQL", "Markdown", "Prisma", "comment", "blank", "total"
"/Users/ozrtayyip/Desktop/adoppet-api/.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"/Users/ozrtayyip/Desktop/adoppet-api/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 51, 0, 2, 21, 74
"/Users/ozrtayyip/Desktop/adoppet-api/docker-compose.yml", "YAML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"/Users/ozrtayyip/Desktop/adoppet-api/nest-cli.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/ozrtayyip/Desktop/adoppet-api/package.json", "JSON", 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 106
"/Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220313203554_init/migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 4, 24
"/Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220313211626_update_modals/migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 23, 0, 0, 13, 8, 44
"/Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220315173211_refresh_token/migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 3, 9
"/Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220317135102_adoption/migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 4, 17
"/Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220320212331_types/migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 24, 0, 0, 14, 10, 48
"/Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220320220414_decimal_to_float/migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 2, 0, 0, 8, 1, 11
"/Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220320222003_gender/migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 9, 0, 0, 11, 5, 25
"/Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220321212246_unique_favorites/migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 1, 9
"/Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220322130948_post/migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 11, 0, 0, 4, 5, 20
"/Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220322141926_adress/migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 13, 0, 0, 4, 6, 23
"/Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220322145622_post_update/migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 6, 0, 0, 11, 5, 22
"/Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220326230654_address_location/migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 30, 0, 0, 19, 16, 65
"/Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220430203552_adoption_process/migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 8, 0, 0, 10, 5, 23
"/Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220508150453_pet_images/migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 9, 0, 0, 4, 5, 18
