Date : 2022-06-07 15:03:48
Directory : /Users/ozrtayyip/Desktop/adoppet-api
Total : 83 files,  3485 codes, 155 comments, 528 blanks, all 4168 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src/blockchain                                                                                                      |          7 |        238 |         24 |         74 |        336 |
| src/blockchain/dto                                                                                                  |          2 |         21 |          0 |          9 |         30 |
| src/favorite                                                                                                        |          3 |         81 |          0 |         24 |        105 |
| src/notification                                                                                                    |          6 |        134 |          0 |         27 |        161 |
| src/notification/dto                                                                                                |          3 |         25 |          0 |          5 |         30 |
| src/pet                                                                                                             |          6 |        137 |          4 |         49 |        190 |
| src/pet/dto                                                                                                         |          3 |         52 |          0 |         18 |         70 |
| src/post                                                                                                            |          3 |         53 |          0 |         14 |         67 |
| src/prisma                                                                                                          |          2 |         29 |          0 |          5 |         34 |
| src/user                                                                                                            |          5 |         57 |          0 |         18 |         75 |
| src/user/dto                                                                                                        |          2 |         13 |          0 |          5 |         18 |
| src/utils                                                                                                           |          1 |         20 |          0 |         10 |         30 |
| test                                                                                                                |          2 |        131 |          1 |         28 |        160 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                            | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/ozrtayyip/Desktop/adoppet-api/.eslintrc.js                                                                   | JavaScript         |         25 |          0 |          1 |         26 |
| /Users/ozrtayyip/Desktop/adoppet-api/README.md                                                                      | Markdown           |         51 |          2 |         21 |         74 |
| /Users/ozrtayyip/Desktop/adoppet-api/docker-compose.yml                                                             | YAML               |         24 |          0 |          3 |         27 |
| /Users/ozrtayyip/Desktop/adoppet-api/nest-cli.json                                                                  | JSON               |          4 |          0 |          1 |          5 |
| /Users/ozrtayyip/Desktop/adoppet-api/package.json                                                                   | JSON               |        100 |          6 |          0 |        106 |
| /Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220313203554_init/migration.sql                            | SQL                |         18 |          2 |          4 |         24 |
| /Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220313211626_update_modals/migration.sql                   | SQL                |         23 |         13 |          8 |         44 |
| /Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220315173211_refresh_token/migration.sql                   | SQL                |          3 |          3 |          3 |          9 |
| /Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220317135102_adoption/migration.sql                        | SQL                |         10 |          3 |          4 |         17 |
| /Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220320212331_types/migration.sql                           | SQL                |         24 |         14 |         10 |         48 |
| /Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220320220414_decimal_to_float/migration.sql                | SQL                |          2 |          8 |          1 |         11 |
| /Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220320222003_gender/migration.sql                          | SQL                |          9 |         11 |          5 |         25 |
| /Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220321212246_unique_favorites/migration.sql                | SQL                |          1 |          7 |          1 |          9 |
| /Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220322130948_post/migration.sql                            | SQL                |         11 |          4 |          5 |         20 |
| /Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220322141926_adress/migration.sql                          | SQL                |         13 |          4 |          6 |         23 |
| /Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220322145622_post_update/migration.sql                     | SQL                |          6 |         11 |          5 |         22 |
| /Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220326230654_address_location/migration.sql                | SQL                |         30 |         19 |         16 |         65 |
| /Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220430203552_adoption_process/migration.sql                | SQL                |          8 |         10 |          5 |         23 |
| /Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220508150453_pet_images/migration.sql                      | SQL                |          9 |          4 |          5 |         18 |
| /Users/ozrtayyip/Desktop/adoppet-api/prisma/migrations/20220509202029_add_notification_token_for_user/migration.sql | SQL                |          1 |          1 |          1 |          3 |
| /Users/ozrtayyip/Desktop/adoppet-api/prisma/schema.prisma                                                           | Prisma             |        147 |          2 |         65 |        214 |
| /Users/ozrtayyip/Desktop/adoppet-api/prisma/seed/seed.ts                                                            | TypeScript         |      1,651 |          0 |         21 |      1,672 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/adopt/adopt.controller.ts                                                  | TypeScript         |         26 |          0 |          7 |         33 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/adopt/adopt.module.ts                                                      | TypeScript         |          9 |          0 |          2 |         11 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/adopt/adopt.service.ts                                                     | TypeScript         |         88 |          0 |         21 |        109 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/adopt/dto/create-adopt.dto.ts                                              | TypeScript         |          5 |          0 |          3 |          8 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/adopt/dto/index.ts                                                         | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/adopt/enum/adoption_process.enum.ts                                        | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/app.module.ts                                                              | TypeScript         |         28 |          0 |          4 |         32 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/auth/auth.controller.ts                                                    | TypeScript         |         31 |          0 |          5 |         36 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/auth/auth.module.ts                                                        | TypeScript         |         11 |          0 |          1 |         12 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/auth/auth.service.ts                                                       | TypeScript         |         80 |          0 |         25 |        105 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/auth/decorator/get-user.decorator.ts                                       | TypeScript         |         10 |          0 |          1 |         11 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/auth/decorator/index.ts                                                    | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/auth/decorator/public.decorator.ts                                         | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/auth/dto/auth.dto.ts                                                       | TypeScript         |         13 |          0 |          2 |         15 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/auth/dto/index.ts                                                          | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/auth/guard/at.guard.ts                                                     | TypeScript         |         16 |          0 |          3 |         19 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/auth/guard/index.ts                                                        | TypeScript         |          2 |          0 |          0 |          2 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/auth/guard/rt.guard.ts                                                     | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/auth/strategy/at.strategy.ts                                               | TypeScript         |         23 |          0 |          2 |         25 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/auth/strategy/index.ts                                                     | TypeScript         |          2 |          0 |          0 |          2 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/auth/strategy/rt.strategy.ts                                               | TypeScript         |         23 |          0 |          2 |         25 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/auth/types/index.ts                                                        | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/auth/types/tokens.types.ts                                                 | TypeScript         |          4 |          0 |          0 |          4 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/blockchain/AdopToken.sol                                                   | Solidity           |         16 |          1 |          6 |         23 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/blockchain/Adoption.sol                                                    | Solidity           |         20 |          1 |          5 |         26 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/blockchain/blockchain.controller.ts                                        | TypeScript         |         25 |          0 |          6 |         31 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/blockchain/blockchain.module.ts                                            | TypeScript         |          9 |          0 |          2 |         11 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/blockchain/blockchain.service.ts                                           | TypeScript         |        147 |         22 |         46 |        215 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/blockchain/dto/adoption_contract.dto.ts                                    | TypeScript         |         20 |          0 |          8 |         28 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/blockchain/dto/index.ts                                                    | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/favorite/favorite.controller.ts                                            | TypeScript         |         19 |          0 |          6 |         25 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/favorite/favorite.module.ts                                                | TypeScript         |          8 |          0 |          2 |         10 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/favorite/favorite.service.ts                                               | TypeScript         |         54 |          0 |         16 |         70 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/main.ts                                                                    | TypeScript         |         20 |          0 |          6 |         26 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/notification/dto/index.ts                                                  | TypeScript         |          2 |          0 |          0 |          2 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/notification/dto/payload.dto.ts                                            | TypeScript         |         16 |          0 |          3 |         19 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/notification/dto/token.dto.ts                                              | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/notification/notification.controller.ts                                    | TypeScript         |         25 |          0 |          5 |         30 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/notification/notification.module.ts                                        | TypeScript         |         26 |          0 |          4 |         30 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/notification/notification.service.ts                                       | TypeScript         |         58 |          0 |         13 |         71 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/pet/dto/create-pet.dto.ts                                                  | TypeScript         |         22 |          0 |          8 |         30 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/pet/dto/edit-pet.dto.ts                                                    | TypeScript         |         28 |          0 |          9 |         37 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/pet/dto/index.ts                                                           | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/pet/pet.controller.ts                                                      | TypeScript         |         39 |          0 |         16 |         55 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/pet/pet.module.ts                                                          | TypeScript         |          8 |          0 |          2 |         10 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/pet/pet.service.ts                                                         | TypeScript         |         38 |          4 |         13 |         55 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/post/post.controller.ts                                                    | TypeScript         |         19 |          0 |          6 |         25 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/post/post.module.ts                                                        | TypeScript         |          8 |          0 |          2 |         10 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/post/post.service.ts                                                       | TypeScript         |         26 |          0 |          6 |         32 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/prisma/prisma.module.ts                                                    | TypeScript         |          8 |          0 |          2 |         10 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/prisma/prisma.service.ts                                                   | TypeScript         |         21 |          0 |          3 |         24 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/user/dto/edit-user.dto.ts                                                  | TypeScript         |         12 |          0 |          5 |         17 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/user/dto/index.ts                                                          | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/user/user.controller.ts                                                    | TypeScript         |         19 |          0 |          5 |         24 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/user/user.module.ts                                                        | TypeScript         |          8 |          0 |          2 |         10 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/user/user.service.ts                                                       | TypeScript         |         17 |          0 |          6 |         23 |
| /Users/ozrtayyip/Desktop/adoppet-api/src/utils/logger.middleware.ts                                                 | TypeScript         |         20 |          0 |         10 |         30 |
| /Users/ozrtayyip/Desktop/adoppet-api/test/app.e2e-spec.ts                                                           | TypeScript         |        122 |          1 |         27 |        150 |
| /Users/ozrtayyip/Desktop/adoppet-api/test/jest-e2e.json                                                             | JSON               |          9 |          0 |          1 |         10 |
| /Users/ozrtayyip/Desktop/adoppet-api/tsconfig.build.json                                                            | JSON               |          3 |          2 |          0 |          5 |
| /Users/ozrtayyip/Desktop/adoppet-api/tsconfig.json                                                                  | JSON with Comments |         21 |          0 |          0 |         21 |
| Total                                                                                                               |                    |      3,485 |        155 |        528 |      4,168 |
+---------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
